Date Posted,Text,Region,Origin,Fact_checked_by,Poynter_Label,Binary Label
2020-02-11, cats and dogs can be infected and can contaminate humans with covid19 ,Europe, Twitter, franceinfo,false,0
2020-02-12,the un health agency announced that covid19 will be the official name of the deadly virus from china coronavirus ,India,The Hindu,,true,1
2020-02-12, silver solution used on strains of coronavirus totally eliminates it kills it deactivates it ,United States, Sherill Sellman, PolitiFact,false,0
2020-02-12, coronavirus cases reported in rome georgia ,United States, Facebook, LeadStories,false,0
2020-02-12, the coronavirus pandemic can be dramatically slowed or stopped with the immediate widespread use of high doses of vitamin c ,United States," Andrew W. Saul, Orthomolecular Medicine News Service", Science Feedback,no evidence,0
2020-02-12, the coronavirus pandemic can be dramatically slowed or stopped with the immediate widespread use of high doses of vitamin c ,United States," Andrew W. Saul, Orthomolecular Medicine News Service", Science Feedback,no evidence,0
2020-02-12, germans quarantined in la gomera by the coronavirus leave home isolation without permission ,Europe, Facebook, Newtral.es,false,0
2020-02-12,who officially names coronavirus as covid19 coronavirusoutbreak ,India,NDTV,,true,1
2020-02-12, china orders citizens to abandonkill their pets as they can transmit coronavirus ,Europe," Twitter, Website", Maldita.es,misleading,0
2020-02-12, hand sanitizer form 2010 is labeled against covid19 ,Europe, Facebook, Pagella Politica,false,0
2020-02-12, china seeks courts approval to kill 20000 coronavirus patients ,India, Facebook, Vishvas News,false,0
2020-02-12, china is seeking courts approval to kill 20000 people positive with coronavirus ,India, , Newschecker,false,0
2020-02-12, the chinese have begun to use their human corpse to process into products such as corned beef to ship to africa please share with your contacts very important ,India, WhatsApp, Newschecker,false,0
2020-02-12, police publicly kill a coronavirusinfected woman in china ,India, Facebook, FactCrescendo,false,0
2020-02-12, the coronavirus epidemic will disappear in april thanks to the heat as president donald trump said ,Europe, Twitter, franceinfo,misleading,0
2020-02-12, vitamin c and omega prevent the new coronavirus ,Europe, WhatsApp, Maldita.es,false,0
2020-02-13, this is a person with coronavirus in calella barcelona 21320 ,Europe, WhatsApp, Newtral.es,false,0
2020-02-13, claims of cannibalism in china,Europe, Instagram, Maldita.es,false,0
2020-02-13, using cocaine kills the coronavirus ,Europe, Facebook user, Observador,false,0
2020-02-13, satellite images showing high levels of sulphur dioxide above china are possible evidence of mass cremations of people who have died from coronavirus ,Europe, Facebook, Demagog,false,0
2020-02-13, covid19 was caused by 5g antennas ,Europe, , 15min.lt,false,0
2020-02-13, weed kills the coronavirus ,India, Twitter, Vishvas News,false,0
2020-02-13, bats responsible for the outbreak of coronavirus originated from the rooftop of a house in wuhan ,India, Facebook, India Today,mostly false,0
2020-02-13, the chinese news website tencent filters that there are more than 24000 deaths from coronavirus ,Europe, Website, Maldita.es,false,0
2020-02-14,the indian embassy in tokyo has said that one more indian crew member on diamond princess has tested positive for covid19 ,India,IndiaToday,,true,1
2020-02-14, highrise buildings have become human incinerators to combat the spread of the coronavirus ,United States, Intelhub.com, LeadStories,false,0
2020-02-14, a residential building was set on fire in wuhan to control spread of coronavirus ,United States, Intelhub.com, LeadStories,false,0
2020-02-14, a video shows a chinese epidemiologist saying there are millions of people infected ,Europe, Twitter, Newtral.es,false,0
2020-02-14, this photo is a chinese tapafrom a bat ,Europe, Twitter, Maldita.es,false,0
2020-02-14, chicken infected from coronavirus found in bangalore ,India, Facebook, Vishvas News,false,0
2020-02-14, sulfur dioxide pollution in wuhan reveals that china is burning bodies of victims ,Europe, Twitter, franceinfo,false,0
2020-02-14, china orders citizens to abandonkill their pets as they can transmit coronavirus ,Europe, Pet Lovers Website, Correctiv,partly false,0
2020-02-14, video of police killing covid19 affected people in china ,India, Many social media platforms, Factly,false,0
2020-02-14, people in wuhan are locked inside their houses trying to escape a building fire ,India," Facebook, Twitter", FactCrescendo,false,0
2020-02-14, a video shows police killing covid19 affected people in china ,India, Many social media platforms, Factly,false,0
2020-02-14, coronavirus was created in a lab in wuhan ,India, Twitter, The Quint,misleading,0
2020-02-14, the who declared covid19 is the abbreviation for china outbreak virus in december 2019 ,India, Twitter, FactCrescendo,false,0
2020-02-15, high levels of sulfur dioxide in wuhan may be a sign of mass cremations of victims of the coronavirus ,United States, Facebook, PolitiFact,false,0
2020-02-15,ground zero how kerala used its experience in controlling the 2018 nipah virus outbreak to prepare for a potential covid19 spread coronavirus kerala china ,India,The Hindu,,true,1
2020-02-15,an elderly chinese tourist hospitalised in france has died of the coronavirus covid19 becoming the first fatality in europe french health minister agnes buzyn said ,India,The Hindu,,true,1
2020-02-15, new confirmed cases of covid19 in kolkatta reported by press trust of india ,India, Media, FactCrescendo,false,0
2020-02-16, china has announced the sucess of egyptian serum form dr hala ealth miniter of egypt against coronavirus ,Europe, WhatsapPP Chain, Newtral.es,false,0
2020-02-16, china has announced the success of egyptian serum form dr hala health minister of egypt against coronavirus ,Europe, WhatsApp, Newtral.es,false,0
2020-02-16,the total number of people infected with covid19 on the ship rose to 355 on sunday ,India,IndiaToday,,true,1
2020-02-16,covid19 coronavirus updates africa has its first confirmed case a person in egypt tested positive diu ,India,IndiaToday,,true,1
2020-02-17, black skin is resistant to coronavirus ,Europe, website, Observador,false,0
2020-02-17, latest research by chinese scientists said coronavirus will render most male patients infertile ,United States, Thailand Medical News, LeadStories,false,0
2020-02-17, consuming magnesium chloride sodium bicarbonate ginger and lemon juice prevents coronavirus infection ,Europe, Unidentified doctor, Maldita.es,false,0
2020-02-17, a video shows a massive explosion in wuhan china to control the spread of coronavirus ,India," Facebook, Twitter", FactCrescendo,false,0
2020-02-17, bus driver in china vomits blood after becoming unconscious behind the wheel ,India," Facebook, Twitter", FactCrescendo,false,0
2020-02-17, there is a covid19 case in east indian state ,India, , AFP,false,0
2020-02-17,covid19 updates kerala defeats coronavirus all three cases have recovered diu ,India,IndiaToday,,true,1
2020-02-18,coronavirus liuzhiming the head of a leading hospital in chinas central city of wuhan is the second prominent chinese doctor to have succumbed to covid19 ,India,The Hindu,,true,1
2020-02-18, seven children died from coronavirus within one week in karimganj assam india ,India, Media, FactCrescendo,false,0
2020-02-18, this bottle of disinfectant gel proves that the coronavirus existed before 2019 ,Europe, Facebook, Les Dcodeurs,false,0
2020-02-18, the coronavirus outbreak in georgia is caused by the eugeorgia association agreement ,Europe, Facebook/media, FactCheck Georgia,false,0
2020-02-18, drinking alcohol kills the coronavirus ,India, Newspaper Dopeher ka saamna, BOOM FactCheck,false,0
2020-02-18, cocaine kills the coronavirus ,India, Facebook, Vishvas News,false,0
2020-02-18, data shows a massive release of sulfur dioxide gas near wuhan ,United States, Twitter, LeadStories,false,0
2020-02-18, popping bubble wrap exposes people to coronavirus ,United States," Facebook, Twitter", LeadStories,false,0
2020-02-18, 20 million chinese people converted to islam after it was proven that the coronavirus does not affect muslims ,United States, Viral image, PolitiFact,false,0
2020-02-19, chinese are converting to islam after realizing that no muslim was affected by covid19 in the country ,India, Twitter, Newschecker,false,0
2020-02-19, this video shows corpses on the streets of wuhan ,Europe," Facebook, Twitter", CheckNews,false,0
2020-02-19, chinese police kill a woman escaping a covid19 quarantine in china ,Europe, Twitter, France 24 Observers,false,0
2020-02-19, india has developed a treatment for coronavirus ,India, Facebook, India Today,mostly false,0
2020-02-19,serum institute of india recently announced that vaccine candidate covid19 is expected to progress to human trials phase within 6 months ,India,IndiaToday,,true,1
2020-02-19,two chinese crew members of a ship which arrived from the covid19hit china have been kept in isolation due to fever ,India,The Hindu,,true,1
2020-02-19, china seeks courts approval to kill 20000 coronavirus patients ,India, Facebook, Vishvas News,false,0
2020-02-19, this coronavirusinfected patient reached to dr vinod kumar but he wasnt given the treatment he was later referred to bhagalpur it further states that one should avoid meat and fish for 3 months and wear mask to protect yourself from coronavirus ,India, Facebook, Vishvas News,false,0
2020-02-19, world labs confirm coronavirus was bioengineered ,Europe, Bloggers, Demagog,false,0
2020-02-19, an elderly chinese couple infected with coronavirus say goodbye while they are in a hospital ,Europe," Social media, website", Newtral.es,partly false,0
2020-02-19, coronavirus is a biological warfare weapon ,United States, technocracy, LeadStories,false,0
2020-02-19, the 2008 book end of days predicted the current coronavirus outbreak ,United States, Facebook, PolitiFact,false,0
2020-02-19, a video says the coronavirus was invented and patented in the usa and then planted in china ,United States, YouTube, PolitiFact,false,0
2020-02-19, studies show the coronavirus was engineered to be a bioweapon ,United States, YouTube, LeadStories,false,0
2020-02-20, the simpsons predicted the new coronavirus outbreak ,United States, Facebook, PolitiFact,false,0
2020-02-20,so far 621 cases of the virus which has been named covid19 have been confirmed among the the diamond princesss original 3711 people on board ,India,IndiaToday,,true,1
2020-02-20, 20 million chinese convert to islam and coronavirus does not affect muslims ,United States, YouTube, LeadStories,false,0
2020-02-20, chinese converting to islam after realizing that no muslim was affected by covd19 in the country ,India," Facebook, Twitter", FactCrescendo,false,0
2020-02-20,there has also been a drop in airfares to countries like thailand in wake of the spread of covid19 coronavirus ,India,The Hindu,,true,1
2020-02-20, a chinese man has been lynched because he pretended to have the coronavirus ,Europe, Facebook, Pagella Politica,misleading,0
2020-02-20, the drug arbidol can help fight the new coronavirus ,Europe," Media, Facebook", VoxCheck,false,0
2020-02-20,covid19 so far southkorea has reported a total of 82 cases of the virus ,India,The Hindu,,true,1
2020-02-21, chinese people are fleeing china to vietnam because of coronavirus ,Europe, Twitter, France 24 Observers,false,0
2020-02-21, coronavirus has arrived in sarajevo bosnia and herzegovina ,Europe, Media, Raskrinkavanje,misleading,0
2020-02-21, video shows racist reactions toward asian people ,Europe, Facebook, AFP,misleading,0
2020-02-21, six coronavirus cases confirmed in wichita kansas ,United States, ab, LeadStories,false,0
2020-02-22, post says people of color may be immune to the coronavirus because of melanin ,United States, Facebook, PolitiFact,false,0
2020-02-22, pigs are buried alive due to coronavirus ,Europe, Twitter, Maldita.es,false,0
2020-02-23,covid19 the final results of the parliamentary election are due on sunday two days after it was held on the heels of the confirmation of covid19 cases in the country iranelection ,India,The Hindu,,true,1
2020-02-23, according to a study the novel coronavirus sarscov2 was the result of experiements done in a lab located near the market in wuhan ,Europe, Various local news sites and blogs, Ellinika Hoaxes,false,0
2020-02-23, bill gates wrote a letter saying covid19 is teaching humans a lesson ,United States, https, LeadStories,false,0
2020-02-23, years ago there was a hand sanitizer active against sarscov2 ,Europe, Facebook, Pagella Politica,false,0
2020-02-23, a facebook status from 2012 talked about the spread of coronavirus in 2020 ,Europe, Facebook, Pagella Politica,false,0
2020-02-23,the recent covid19 scare brought to the fore the importance of coordination among states from smuggling of goods to dumping of medical waste the issues are many and need careful handling by several state governments acting in concert ,India,The Hindu,,true,1
2020-02-24,racism the attack was over covid19 outbreak a spokeswoman of birmingham chinese society said there has always been abuse the virus has given some individuals a reason for that abuse covid19 ,India,The Hindu,,true,1
2020-02-24, coronavirus in parabiago e nerviano lombardia italy ,Europe, Facebook, Pagella Politica,false,0
2020-02-24, the link between covid19 and 5g is being hidden ,Europe, Facebook, Faktograf,false,0
2020-02-24, a chinese swat team takes down a coronavirus suspect ,India, Twitter, BOOM FactCheck,false,0
2020-02-24, there are two coronavirus cases in bovalino reggio calabria italy ,Europe, Facebook, Pagella Politica,false,0
2020-02-24, coronavirus in santegidio abruzzo italy ,Europe, Facebook, Pagella Politica,false,0
2020-02-24, coronavirus is present at bosch company in bari puglia because chinese people visited the week before ,Europe, Facebook, Pagella Politica,false,0
2020-02-24, a book by dkoontz the eyes of darkness predicted covid19 in 1981 ,Europe, Facebook, 15min.lt,false,0
2020-02-24, nostradamus predicted the coronavirus ,Europe, Tocka, Vistinomer,false,0
2020-02-24, a 1981 book predicted the coronavirus outbreak ,Europe, Twitter, Maldita.es,misleading,0
2020-02-24, radio host rush limbaugh compares novel coronavirus to the common cold ,United States," Limbaugh podcast, twitter", AFP,misleading,0
2020-02-24, the coronavirus is the common cold folks ,United States, Rush Limbaugh, PolitiFact,false,0
2020-02-24, video says president donald trump spawned the wuhan super virus outbreak under code name zyphr ,United States, Facebook, PolitiFact,false,0
2020-02-24, coronavirus case in uttar pradesh district india ,India," Facebook, Twitter", AFP,false,0
2020-02-25, video of a road traffic control in china to detect people infected with coronavirus ,Europe, Twitter, Maldita.es,partly false,0
2020-02-25, bats that hide under wuhan rooftops caused the covid19 outbreak ,Europe, Message text + video, Newtral.es,false,0
2020-02-25, china needs coronavirus swat special weapons and tactics police teams to arrest this coronavirus victim ,India," Facebook, Twitter", FactCrescendo,false,0
2020-02-25, in poland people who are not insured have to pay for coronavirus testing so if they cant afford it they will spread it ,Europe, Robert Biedron / Presidential candidate, Demagog,false,0
2020-02-25, bats that hide under wuhan rooftops caused the covid19 outbreak ,Europe, Unknown, Maldita.es,misleading,0
2020-02-25,the world health organization has named the illness covid19 referring to its origin late last year and the coronavirus that causes it ,India,IndiaToday,,true,1
2020-02-25, president trump claims the virus is under control and testing is available ,United States, News conference, Washington Post Fact,false,0
2020-02-25, the mortality rate for the flu is right around that of the new coronavirus,United States, Chad Wolf, PolitiFact,false,0
2020-02-25, evidence indicates covid19 escaped a chinese lab that was researching it causing the outbreak ,United States," Steven W. Mosher, New York Post", Science Feedback,false,0
2020-02-25, coronavirus patients are being cremated alive in china ,United States, Facebook, PolitiFact,false,0
2020-02-25, coronavirus is a bioweapon leaked from a wuhan lab ,United States, YouTube, LeadStories,false,0
2020-02-25, indian government and the who advised people not to purchase colors from china for holi ,India, WhatsApp, BOOM FactCheck,false,0
2020-02-25, coronavirus was found in horses ,Europe, Malgr tout, TjekDet.dk,misleading,0
2020-02-26,could north korea handle a covid19 outbreak ,Europe,BBC News (UK),,true,1
2020-02-26, the cdc recommends men shave their beards to protect against coronavirus ,United States, Facebook, PolitiFact,false,0
2020-02-26, cocaine kills the coronavirus ,United States, Instagram, LeadStories,false,0
2020-02-26, china took advantage of the coronavirus crisis to buy back stocks from its technology companies belonging to foreign investors ,Europe, Media, Raskrinkavanje,false,0
2020-02-26, is it useful to close borders to stop the outbreak ,Europe, Media and social media platforms, franceinfo,false,0
2020-02-26, italian red cross gives the recipe for making amuchina hand sanitizer at home ,Europe, Facebook, Pagella Politica,false,0
2020-02-26, a letter from an uncle in wuhan claims covid19 can be cured with hot water ,Europe, Facebook, 15min.lt,false,0
2020-02-26, a man is allegedly selling medical masks for 80 denars on a bus owned by the skopje public transportation enterprise ,Europe, Facebook, Vistinomer,false,0
2020-02-26, letters and packages sent from china can cause coronavirus infection ,Europe, Member of our community, Maldita.es,misleading,0
2020-02-26, face masks are a good protection against the coronavirus ,Europe, Member of our community, Maldita.es,mostly false,0
2020-02-26, the new coronavirus was registered in 2004 ,Europe, Facebook, Maldita.es,false,0
2020-02-26, hair weave and lace fronts manufactured in china may contain the coronavirus ,United States, Bloggers, PolitiFact,false,0
2020-02-26, school has been suspended in catalonia until 3220 ,Europe, WhatsApp, Maldita.es,false,0
2020-02-26, two cases are confirmed of coronavirus in huelva andaluca 22620 ,Europe," Facebook, WhatsApp", Newtral.es,false,0
2020-02-26, a monkey has been infected with coronavirus in this photo ,Europe, Twitter, Maldita.es,false,0
2020-02-26, cdc issued facial hair recommendation for novel coronavirus prevention ,United States, Media, AFP,misleading,0
2020-02-26, a post say hair weave and lace fronts manufactured in china may contain the coronavirus ,United States, Bloggers, PolitiFact,pants on fire,0
2020-02-26, hair weaves and lace front wigs made in china likely to contain coronavirus ,United States, toine360.com, LeadStories,unlikely,0
2020-02-26, a post says hair weave and lace fronts manufactured in china may contain the coronavirus ,United States, Bloggers, PolitiFact,false,0
2020-02-26, coronavirus,United States, Facebook, PolitiFact,false,0
2020-02-26, new cases of coronavirus in madrid are linked to two universities and a club ,Europe, WhatsApp, Newtral.es,false,0
2020-02-27,coronavirus india on wednesday sent a heavy lift military transport aircraft to the covid19hit wuhan in china ,India,The Hindu,,true,1
2020-02-27, akira is a 1988 movie about an apocalyptic event taking place months before tokyo 2020 olympics showing the who advising japan to postpone the olympics because of a pandemic risk ,United States, Facebook, PolitiFact,false,0
2020-02-27, there is a new case of covid19 in sacedn spain ,Europe, Unknown, Maldita.es,false,0
2020-02-27, america has been vaccinating cattle for coronavirus for years yet the news tells you its new and going to kill you all so go buy a mask ,United States, Facebook, PolitiFact,false,0
2020-02-27, health authorities say shaving a beard protects from covid19 ,Europe, Foozine , AFP,misleading,0
2020-02-27, chloroquine cures covid19 ,Europe, Hits2babi on FB, AFP,misleading,0
2020-02-27, french far right leader marine le pen says the eu didnt act against the outbreak ,Europe, Media, franceinfo,false,0
2020-02-27, the who says the coronavirus might be spread by food ,Europe, Website, Correctiv,partly false,0
2020-02-27, the who has issued an alert against buying holy colors from china ,India, WhatsApp, Vishvas News,false,0
2020-02-27, a video accompanying a claim shows bodies being removed from a hospital in iran during the novel coronavirus pandemic ,India, Facebook, AFP,false,0
2020-02-27, video shows chinese officials detaining an infected citizen who refused to be tested ,Europe," Website, Facebook", 15min.lt,false,0
2020-02-27, a lithuanian doctor gives advice to those potentially infected with the coronavirus ,Europe, Facebook, 15min.lt,false,0
2020-02-27, a monkey is been infected with the coronavirus in this photo ,Europe, Twitter, Newtral.es,false,0
2020-02-27, starting in march if you travel outside of the united states you wont be allowed back in the country due to high risk of the coronavirus ,United States, Facebook, PolitiFact,false,0
2020-02-27, lectures have been suspended at the university of sevilla due to coronavirus ,Europe, Unkown, Maldita.es,false,0
2020-02-27, an article in el pais says there is a case of coronavirus at the school of architecture of madrid ,Europe, WhatsApp, Maldita.es,false,0
2020-02-27, first case of coronavirus in alcal de henares madrid ,Europe, WhatsApp, Maldita.es,false,0
2020-02-27, a brothel with 86 customers was quarantined after a prostitute tested positive for the coronavirus ,Europe, Cerebrother, Maldita.es,false,0
2020-02-27, sevillas university has suspended classes because of coronavirus on 22720 ,Europe, WhatsApp, Newtral.es,false,0
2020-02-27, dr gerardo dovakin found a vaccine against coronavirus ,Europe, Facebook, Newtral.es,false,0
2020-02-27, a book published in 1981 said that in 2020 a severe pneumonialike illness would spread across the world and calling it wuhan400 ,Europe, Facebook, Full Fact,partly false,0
2020-02-27, each side of protective surgical masks has different functions indicated by colour and you should choose the way you wear by whether you are ill or not ,Europe, Facebook, Full Fact,false,0
2020-02-27, lysol products can kill the novel coronavirus ,United States, Facebook, LeadStories,misleading,0
2020-02-27, the blood test for coronavirus costs 3200 ,United States, Facebook, PolitiFact,mostly false,0
2020-02-27, el pais said there is a possible case of coronavirus at the hospital gregorio maran in spain ,Europe, Twitter, Maldita.es,false,0
2020-02-28,this is not the first time that letters about covid19 or sarscov2 virus published in peerreviewed journals has had a problem ,India,The Hindu,,true,1
2020-02-28,cdc does not currently recommend the general public use facemasks or respirators for covid19 this 2017 graphic is intended for workers who wear tightfitting respirators learn about covid19 and ppe ,United States,CDC,,true,1
2020-02-28,her statement comes at a time when the fastspreading covid19 virus has disrupted global markets coronavirus ,India,IndiaToday,,true,1
2020-02-28,we have now increased our assessment of the risk of spread and the risk of impact of covid19 to very high at global level says who chief tedros adhanom ghebreyesus ,India,The Hindu,,true,1
2020-02-28, barcelonas council issued a notification of a new focus in two neighborhoods ,Europe, WhatsApp, Newtral.es,false,0
2020-02-28, covid19 is just a big flu ,Europe, Dr Schmitz, Les Dcodeurs,false,0
2020-02-28, it is best to shave your beard to avoid being infected by the coronavirus ,Europe, Foozine, Les Dcodeurs,false,0
2020-02-28, the german government made a secret plan about coronavirus in 2012 that foretold the pandemic ,Europe, Website, Correctiv,partly false,0
2020-02-28, tips against coronavirus like holding your breath and drinking water ,Europe, Whatsapp users, Correctiv,false,0
2020-02-28, coronavirus patients in china are caught by officials on a highway ,India, Many social media platforms, Factly,false,0
2020-02-28, coronavirus patients in china are caught by officials on a highway ,India, Many social media platforms, Factly,false,0
2020-02-28, a video of chaos in a shop claims people are panicking after the first confirmed case of coronavirus in lithuania ,Europe, Facebook, 15min.lt,false,0
2020-02-28, summer temperatures will make coronavirus disappear ,Europe, Member of our community, Maldita.es,misleading,0
2020-02-28, spanish newspaper abc reports there are two possible covid19 cases in gines and benecazn seville spain ,Europe, WhatsApp, Maldita.es,false,0
2020-02-28, a man with a gas mask at a supermarket in lugo galicia spain ,Europe, Twitter, Newtral.es,false,0
2020-02-28, the wife of a chinese shop owner in totana murcia spain has coronavirus ,Europe, WhatsApp, Maldita.es,false,0
2020-02-28, authorities should implement temperature tests to travelers from china ,Europe, Politician, Maldita.es,false,0
2020-02-28, video of a person infected with coronavirus being detained by the police ,Europe, Facebook, Newtral.es,false,0
2020-02-28, chinese police use a fishing net to arrest a man with a high fever ,Europe, Twitter, France 24 Observers,false,0
2020-02-28, beef meat is the best vaccine against covid19 ,Europe, Agri, AFP,false,0
2020-02-28, clients of a brothel in the spanish city of valencia are quarantined after one of their employees tested positive for coronavirus ,Europe, Website, EFE Verifica,false,0
2020-02-28, a man with a gas mask at a supermarket in lugo galicia spain ,Europe, Twitter, Maldita.es,false,0
2020-02-28, election years in the united states coincide with major disease outbreaks ,United States, Facebook, AFP,misleading,0
2020-02-28, florida man is arrested for robbery using cough as a weapon ,United States, Danking News, LeadStories,false,0
2020-02-28, every election year has a disease sars in 2004 avian flu in 2008 swine flu in 2010 mers in 2012 ebola in 2014 and 2018 zika in 2016 and the coronavirus in 2020 ,United States, Facebook, PolitiFact,false,0
2020-02-28, a poll finds 38 of americans say they will not drink corona beer because of the virus ,United States, Tweet, PolitiFact,false,0
2020-02-28, the coronavirus has made it to mississippi and the lady that caught it wasnt around anybody with it which means it is airborne if the wind blows it in your direction youll have it also ,United States, Facebook, PolitiFact,false,0
2020-02-28, the wife of a chinese shop owner in totana murcia spain has coronavirus ,Europe, WhatsApp, Newtral.es,false,0
2020-02-29,reports of community spread of covid19 in california oregon washington raise concern about the immediate threat for covid19 for certain communities in the us however most people in the us have little immediate risk of exposure to the virus ,United States,CDC,,true,1
2020-02-29,some people in the us will be at increased risk of covid19 depending on their exposures the greatest risk is to those who are in close contact with people with covid19 people with suspected or confirmed exposure should reach out to their healthcare provider,United States,CDC,,true,1
2020-02-29,nhs plans to deploy dads army of retired doctors if covid19 spreads ,Europe,Guardian news,,true,1
2020-02-29,india admirably stepped up to the task of arresting the spread of covid19 yet all the measures it took were immediate and short term is india equipped to deal with a wuhansized epidemic indiatodaymagazine ,India,IndiaToday,,true,1
2020-02-29,we have now increased our assessment of the risk of spread and the risk of impact of covid19 to very high at global level says who chief tedros adhanom ghebreyesus ,India,The Hindu,,true,1
2020-02-29,just in trump bans travel to us from iran urges americans not to travel to areas in italy and southkorea hit by covid19,India,The Hindu,,true,1
2020-02-29, the coronavirus is more dangerous for animals than for humans ,Europe, Website, Correctiv,no evidence,0
2020-02-29, germany gave medical protection equipment like masks to china now its missing in germany ,Europe, Website, Correctiv,correct,0
2020-02-29, garlic water can treat coronavirus ,Europe, Unkown, Maldita.es,false,0
2020-02-29, doctors recommend carbon filter face masks to prevent coronavirus spread ,United States, Facebook, LeadStories,false,0
2020-02-29, a video says the vatican confirmed pope francis and two aides tested positive for coronavirus ,United States, YouTube, PolitiFact,false,0
2020-02-29, russia announces the closure of airspace and suspends all incoming and outgoing flights to china ,India," Twitter, WhatsApp", Newschecker,misleading,0
2020-02-29, president barack obama waited six months to call swine flu an emergency after thousands died ,United States, Facebook, PolitiFact,false,0
2020-02-29, a video shows people storming an aldi supermarket to buy groceries because of coronavirus fear ,Europe, TikTok user, Correctiv,false,0
2020-02-29, cdc recommends men shave their beards to be protected against the new coronavirus ,United States, Media, LeadStories,false,0
2020-02-29, this virus must be old because the label on a bottle of disinfectant from 2015 shows coronavirus ,Europe, Facebook, Correctiv,false,0
2020-02-29, pangolin is the original cause of covid19 ,Europe, Scientific team, Maldita.es,false,0
2020-03-01, bill gates is working on an electronic chip to implant under human skin in order to locate and control people ,Europe, social media, AFP,false,0
2020-03-01, facemasks prevent coronavirus infection ,Europe, , Newtral.es,explanatory,0
2020-03-01, pope francis and two aides tested positive for coronavirus ,United States, MCM, LeadStories,false,0
2020-03-01, florida hospital reports a coronavirus infestation with multiple confirmed patients ,United States, YourContent, PolitiFact,false,0
2020-03-01, photo shows a man wearing a government issued saint laurent hazardous materials suit ,United States, Facebook, PolitiFact,false,0
2020-03-01, shands hospital of gainesville florida has confirmed its first case of coronavirus ,United States, Facebook, PolitiFact,false,0
2020-03-01, an alkaline diet can prevent coronavirus infection ,Europe, WhatsApp, Maldita.es,false,0
2020-03-01,matt hancock says covid19 outbreak could force uk to shut down cities video ,Europe,Guardian news,,true,1
